team_size,task_count,high_priority_count,medium_priority_count,low_priority_count,completion_rate,actual_days
10,99,63,31,5,0.26,105
4,86,14,13,59,0.24,99
17,63,1,24,38,0.09,62
12,97,41,51,5,0.8,46
18,43,18,4,21,0.96,11
10,8,7,1,0,0.79,5
8,55,8,46,1,0.2,71
18,42,19,5,18,0.79,18
3,3,2,1,0,0.17,5
1,8,4,3,1,0.82,5
6,19,8,11,0,0.74,11
1,63,44,12,7,0.32,115
5,25,2,0,23,0.03,35
5,99,60,27,12,0.86,55
18,6,2,3,1,0.31,5
15,73,2,29,42,0.17,76
1,85,34,51,0,0.91,50
18,58,10,22,26,0.62,32
5,11,10,0,1,0.03,20
2,66,39,23,4,0.07,107
9,20,0,7,13,0.07,20
3,4,1,0,3,0.22,5
3,57,52,4,1,0.65,59
12,17,6,8,3,0.79,8
18,97,5,90,2,0.56,55
14,38,13,3,22,0.38,29
19,30,30,0,0,0.11,39
8,88,13,25,50,0.97,22
19,51,2,41,8,0.7,28
13,71,62,8,1,0.3,90
19,47,13,16,18,0.24,39
20,89,13,74,2,0.07,92
14,94,40,3,51,0.06,128
2,86,40,15,31,0.24,136
12,35,10,13,12,0.86,14
5,48,19,4,25,0.6,33
9,61,8,3,50,0.87,20
1,8,6,2,0,0.08,18
14,47,14,18,15,0.89,16
8,21,18,1,2,0.59,19
4,55,6,27,22,0.1,71
13,67,65,1,1,0.47,74
8,87,37,5,45,0.89,30
12,6,1,2,3,0.14,6
1,57,28,12,17,0.48,64
3,48,44,3,1,0.21,77
6,49,45,0,4,0.22,60
1,90,38,20,32,0.44,105
10,54,40,8,6,0.82,26
17,88,20,50,18,0.88,32
7,13,10,1,2,0.99,5
14,45,0,39,6,0.42,34
8,61,52,0,9,0.82,38
5,8,8,0,0,0.64,6
13,47,22,16,9,0.6,35
2,68,32,35,1,0.37,79
8,84,75,9,0,0.32,110
2,63,28,9,26,0.36,82
10,14,1,2,11,0.91,5
3,84,69,10,5,0.74,65
3,16,7,1,8,0.01,25
3,65,54,9,2,0.91,36
6,28,20,5,3,0.85,14
13,73,52,5,16,0.79,38
2,32,2,2,28,0.86,17
8,75,47,25,3,0.37,70
1,24,6,1,17,0.17,37
4,37,0,0,37,0.95,11
10,60,17,27,16,0.01,77
11,49,48,1,0,0.85,25
